LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL       
60.68029,-174.79763,R-27,41,2017,7/25/2017 7:36,0.0263,,fish egg unid.,,1,98,0.7,9.6,94,201701,189
56.65495,-164.02061,F-07,31,2017,6/18/2017 18:13,0.0337,,fish egg unid.,,1,75,0.4,8.9,162,201701,20
58.67131,-167.86935,L-01,20,2017,6/29/2017 9:54,0.0121,,fish egg unid.,,1,46,3.7,7.1,162,201701,60
57.98366,-158.33269,J-16,10,2017,6/5/2017 7:18,0.1461,0.1873,arrowtooth flounder,Atheresthes stomias,10110,36,5.2,5.5,94,201701,6
57.6788,-160.90221,I-12,31,2017,6/6/2017 15:49,0.1345,0.2038,arrowtooth flounder,Atheresthes stomias,10110,56,2.9,4,94,201701,13
57.35487,-160.9441,H-12,31,2017,6/6/2017 18:16,0.7249,1.7117,arrowtooth flounder,Atheresthes stomias,10110,59,3.3,4.9,94,201701,14
56.32538,-161.61699,E-11,10,2017,6/7/2017 6:59,8.7125,11.4675,arrowtooth flounder,Atheresthes stomias,10110,66,2.9,6.1,94,201701,15
56.66427,-161.57534,F-11,31,2017,6/7/2017 9:44,2.8688,3.3016,arrowtooth flounder,Atheresthes stomias,10110,90,1.8,6.2,94,201701,16
56.99323,-161.58334,G-11,31,2017,6/7/2017 12:44,0.6306,1.0651,arrowtooth flounder,Atheresthes stomias,10110,70,2,5.7,94,201701,17
56.99723,-160.97261,G-12,31,2017,6/7/2017 15:36,0.3154,0.841,arrowtooth flounder,Atheresthes stomias,10110,64,3.2,4.9,94,201701,18
57.67614,-162.12258,I-10,10,2017,6/9/2017 9:46,0.1873,0.4023,arrowtooth flounder,Atheresthes stomias,10110,48,3.6,4.3,94,201701,25
57.00487,-162.16476,G-10,31,2017,6/9/2017 14:57,0.2531,0.3844,arrowtooth flounder,Atheresthes stomias,10110,61,3,5.3,94,201701,27
56.6736,-162.18072,F-10,31,2017,6/9/2017 18:02,2.33,3.6985,arrowtooth flounder,Atheresthes stomias,10110,71,1.4,6.5,94,201701,28
55.65785,-162.83204,C-09,10,2017,6/10/2017 7:18,3.1896,5.3647,arrowtooth flounder,Atheresthes stomias,10110,53,3,7,94,201701,29
55.97655,-162.81395,D-09,31,2017,6/10/2017 10:26,18.0269,35.5471,arrowtooth flounder,Atheresthes stomias,10110,80,2,7.4,94,201701,30
56.32133,-162.81038,E-09,31,2017,6/10/2017 13:38,2.0391,4.3968,arrowtooth flounder,Atheresthes stomias,10110,78,1.1,6.8,94,201701,31
56.32062,-162.21122,E-10,31,2017,6/10/2017 16:39,15.7478,26.4117,arrowtooth flounder,Atheresthes stomias,10110,76,2.3,7.1,94,201701,32
56.66423,-162.79099,F-09,31,2017,6/11/2017 7:11,0.2283,0.4114,arrowtooth flounder,Atheresthes stomias,10110,72,1.6,6.6,94,201701,33
56.31995,-163.40732,E-08,31,2017,6/19/2017 8:07,29.8865,40.9863,arrowtooth flounder,Atheresthes stomias,10110,86,1.3,9.1,94,201701,69
56.00817,-163.41173,D-08,31,2017,6/19/2017 10:34,31.4028,79.2316,arrowtooth flounder,Atheresthes stomias,10110,87,1.9,9.4,94,201701,70
55.68082,-163.41246,C-08,31,2017,6/19/2017 13:03,17.7124,58.0232,arrowtooth flounder,Atheresthes stomias,10110,82,2.3,9.6,94,201701,71
55.35088,-163.41351,B-08,31,2017,6/19/2017 15:40,7.8745,37.0425,arrowtooth flounder,Atheresthes stomias,10110,54,3.3,8.9,94,201701,72
54.68654,-165.16644,Z-05,31,2017,6/23/2017 7:16,54.2983,168.4759,arrowtooth flounder,Atheresthes stomias,10110,85,6.1,6.7,94,201701,73
54.9776,-165.16014,A-05,50,2017,6/23/2017 10:41,16.267,31.6688,arrowtooth flounder,Atheresthes stomias,10110,110,4.8,8.6,94,201701,74
55.01002,-164.59813,A-06,31,2017,6/23/2017 13:37,4.1946,4.4945,arrowtooth flounder,Atheresthes stomias,10110,62,5.7,9.7,94,201701,75
55.33005,-164.56256,B-06,31,2017,6/23/2017 16:31,70.6555,75.8247,arrowtooth flounder,Atheresthes stomias,10110,102,4.8,9.7,94,201701,76
55.32188,-165.16088,B-05,50,2017,6/24/2017 7:11,39.674,76.2814,arrowtooth flounder,Atheresthes stomias,10110,112,4.7,10,94,201701,77
55.65586,-165.17059,C-05,31,2017,6/24/2017 9:59,36.3832,53.7073,arrowtooth flounder,Atheresthes stomias,10110,109,4.2,9.9,94,201701,78
55.98851,-165.1814,D-05,31,2017,6/24/2017 14:25,46.0087,110.0399,arrowtooth flounder,Atheresthes stomias,10110,96,2.4,9.7,94,201701,80
56.31814,-165.19134,E-05,31,2017,6/24/2017 17:09,8.6193,21.9625,arrowtooth flounder,Atheresthes stomias,10110,87,1.7,9.9,94,201701,81
56.65143,-165.21025,F-05,31,2017,6/25/2017 7:10,4.0791,12.7165,arrowtooth flounder,Atheresthes stomias,10110,77,1.3,9.2,94,201701,82
58.01331,-167.80793,J-01,41,2017,6/29/2017 7:00,1.0016,1.5084,arrowtooth flounder,Atheresthes stomias,10110,67,0.7,7.6,94,201701,101
57.34477,-167.73532,H-01,31,2017,6/29/2017 12:27,0.8327,1.7792,arrowtooth flounder,Atheresthes stomias,10110,74,1.5,8.4,94,201701,103
57.0106,-167.69956,G-01,31,2017,6/29/2017 15:11,5.2061,18.0435,arrowtooth flounder,Atheresthes stomias,10110,78,1.8,8.5,94,201701,104
56.67699,-167.68474,F-01,31,2017,6/29/2017 17:49,3.4922,16.3299,arrowtooth flounder,Atheresthes stomias,10110,102,1.5,8.7,94,201701,105
56.34143,-167.65345,E-01,50,2017,6/30/2017 7:10,62.5587,87.5696,arrowtooth flounder,Atheresthes stomias,10110,129,4.2,8.9,94,201701,106
56.01294,-167.62622,D-01,50,2017,6/30/2017 9:53,15.2402,16.8433,arrowtooth flounder,Atheresthes stomias,10110,133,4.4,8.6,94,201701,107
55.67721,-167.58769,C-01,50,2017,6/30/2017 12:53,15.1439,22.1748,arrowtooth flounder,Atheresthes stomias,10110,135,4.5,8.5,94,201701,108
55.35203,-167.55913,B-01,50,2017,6/30/2017 16:00,16.486,14.151,arrowtooth flounder,Atheresthes stomias,10110,147,4.3,7.3,94,201701,109
55.65603,-168.18081,C-18,50,2017,7/1/2017 7:04,11.9887,34.3953,arrowtooth flounder,Atheresthes stomias,10110,135,4.4,8.5,94,201701,110
55.99872,-168.22496,D-18,50,2017,7/1/2017 9:51,28.0651,86.1958,arrowtooth flounder,Atheresthes stomias,10110,151,4.5,8.5,94,201701,111
56.32258,-168.24148,E-18,50,2017,7/1/2017 12:23,95.5346,270.7484,arrowtooth flounder,Atheresthes stomias,10110,154,4.4,9.1,94,201701,112
56.65854,-168.29087,F-18,50,2017,7/1/2017 15:14,7.8077,18.7307,arrowtooth flounder,Atheresthes stomias,10110,107,2.2,9.1,94,201701,113
56.82948,-168.60543,GF1918,32,2017,7/1/2017 17:44,11.3604,28.0625,arrowtooth flounder,Atheresthes stomias,10110,97,2.3,7.6,94,201701,114
56.9903,-168.31584,G-18,32,2017,7/2/2017 7:14,11.3739,37.222,arrowtooth flounder,Atheresthes stomias,10110,81,2.3,8.4,94,201701,115
57.15421,-168.64241,HG1918,32,2017,7/2/2017 9:43,11.9963,23.8422,arrowtooth flounder,Atheresthes stomias,10110,76,2.7,8.2,94,201701,116
57.32404,-168.36143,H-18,32,2017,7/2/2017 12:19,14.9161,24.2595,arrowtooth flounder,Atheresthes stomias,10110,74,2.3,8.5,94,201701,117
57.49323,-168.76615,IH1918,42,2017,7/2/2017 14:45,14.8095,20.5093,arrowtooth flounder,Atheresthes stomias,10110,71,2.3,8.2,94,201701,118
57.66349,-168.41446,I-18,42,2017,7/2/2017 17:04,2.5866,3.554,arrowtooth flounder,Atheresthes stomias,10110,71,1.6,8.7,94,201701,119
57.83922,-168.71811,JI1918,42,2017,7/3/2017 7:03,9.7335,10.575,arrowtooth flounder,Atheresthes stomias,10110,71,1.7,8.7,94,201701,120
57.67868,-169.01758,I-19,42,2017,7/3/2017 9:06,2.9026,5.2389,arrowtooth flounder,Atheresthes stomias,10110,69,1.4,8.4,94,201701,121
57.50306,-169.35237,IH2019,42,2017,7/3/2017 11:15,13.0303,29.6513,arrowtooth flounder,Atheresthes stomias,10110,70,2.2,8,94,201701,122
57.34526,-168.98932,H-19,42,2017,7/3/2017 13:53,9.7897,18.1775,arrowtooth flounder,Atheresthes stomias,10110,70,2.5,8.1,94,201701,123
57.17993,-169.31425,HG2019,42,2017,7/3/2017 16:25,11.8635,29.8918,arrowtooth flounder,Atheresthes stomias,10110,73,3,7.4,94,201701,124
57.0132,-168.9407,G-19,32,2017,7/4/2017 6:58,8.2196,25.3137,arrowtooth flounder,Atheresthes stomias,10110,80,2.8,8.1,94,201701,125
56.84154,-169.28896,GF2019,32,2017,7/4/2017 9:24,11.8908,29.4925,arrowtooth flounder,Atheresthes stomias,10110,80,4.1,5.5,94,201701,126
56.99145,-169.53749,G-20,42,2017,7/4/2017 11:44,14.363,51.4119,arrowtooth flounder,Atheresthes stomias,10110,60,3.9,5.7,94,201701,127
56.83444,-169.86927,GF2120,42,2017,7/4/2017 14:05,1.4655,12.8951,arrowtooth flounder,Atheresthes stomias,10110,72,4.5,8.5,94,201701,128
57.09998,-170.45849,HG2221,42,2017,7/6/2017 13:30,0.3932,6.3756,arrowtooth flounder,Atheresthes stomias,10110,47,5.5,7.8,94,201701,129
57.02604,-170.21272,G-21,42,2017,7/6/2017 16:36,4.992,53.6433,arrowtooth flounder,Atheresthes stomias,10110,66,4.9,7,94,201701,130
56.32335,-170.6617,E-22,61,2017,7/7/2017 7:10,23.0021,21.7767,arrowtooth flounder,Atheresthes stomias,10110,121,4.5,7.1,94,201701,131
56.65814,-170.71913,F-22,61,2017,7/7/2017 10:07,20.8901,23.5083,arrowtooth flounder,Atheresthes stomias,10110,114,4.4,8.3,94,201701,132
56.82501,-170.46607,GF2221,42,2017,7/7/2017 12:59,17.1241,33.6011,arrowtooth flounder,Atheresthes stomias,10110,101,3.9,8.1,94,201701,133
56.98716,-170.77862,G-22,42,2017,7/7/2017 15:11,21.6739,42.481,arrowtooth flounder,Atheresthes stomias,10110,96,3.9,8.2,94,201701,134
57.32315,-170.85282,H-22,42,2017,7/7/2017 17:43,19.9851,26.9184,arrowtooth flounder,Atheresthes stomias,10110,83,4.8,8.3,94,201701,135
58.00084,-171.57559,J-23,41,2017,7/8/2017 7:08,2.4458,5.1135,arrowtooth flounder,Atheresthes stomias,10110,98,2.9,8.1,94,201701,136
57.9975,-172.21327,J-24,61,2017,7/8/2017 9:54,11.9468,12.9945,arrowtooth flounder,Atheresthes stomias,10110,105,3.2,8.3,94,201701,137
57.6688,-172.1833,I-24,61,2017,7/8/2017 13:08,13.7477,23.7588,arrowtooth flounder,Atheresthes stomias,10110,107,3.4,8.2,94,201701,138
57.66775,-171.5743,I-23,41,2017,7/8/2017 15:58,21.4794,22.0315,arrowtooth flounder,Atheresthes stomias,10110,100,3.4,8.2,94,201701,139
56.65902,-171.34949,F-23,61,2017,7/9/2017 7:05,9.6277,19.7384,arrowtooth flounder,Atheresthes stomias,10110,120,4.4,7.6,94,201701,140
56.98777,-171.3965,G-23,61,2017,7/9/2017 9:43,26.4744,34.1829,arrowtooth flounder,Atheresthes stomias,10110,109,4.4,8.5,94,201701,141
56.99424,-172.01712,G-24,61,2017,7/9/2017 12:33,8.2932,8.6081,arrowtooth flounder,Atheresthes stomias,10110,117,4.4,8.3,94,201701,142
57.3227,-172.10025,H-24,61,2017,7/9/2017 15:27,8.6089,28.793,arrowtooth flounder,Atheresthes stomias,10110,108,4.1,8.4,94,201701,143
57.33639,-171.4928,H-23,41,2017,7/9/2017 18:22,14.2085,38.3848,arrowtooth flounder,Atheresthes stomias,10110,101,3.9,8.8,94,201701,144
58.33417,-171.62364,K-23,41,2017,7/10/2017 7:08,23.3117,30.3246,arrowtooth flounder,Atheresthes stomias,10110,96,2.9,8.4,94,201701,145
58.3295,-172.27984,K-24,61,2017,7/10/2017 9:53,3.7666,4.4368,arrowtooth flounder,Atheresthes stomias,10110,103,3.1,8.5,94,201701,146
58.65997,-172.37202,L-24,61,2017,7/10/2017 13:24,28.5048,36.7779,arrowtooth flounder,Atheresthes stomias,10110,101,2.9,8.5,94,201701,147
58.66968,-171.73954,L-23,41,2017,7/10/2017 16:15,7.7263,13.9851,arrowtooth flounder,Atheresthes stomias,10110,92,1.6,8.5,94,201701,148
58.65359,-171.0812,L-22,41,2017,7/11/2017 7:00,6.5517,7.3333,arrowtooth flounder,Atheresthes stomias,10110,83,1.1,8.5,94,201701,149
58.97737,-171.12791,M-22,41,2017,7/11/2017 9:34,0.7522,1.055,arrowtooth flounder,Atheresthes stomias,10110,78,0.5,7.9,94,201701,150
58.68926,-170.44146,L-21,41,2017,7/11/2017 14:45,7.4991,7.9478,arrowtooth flounder,Atheresthes stomias,10110,73,1.1,9.3,94,201701,152
56.33213,-168.85379,E-19,50,2017,7/17/2017 8:47,21.0753,83.4045,arrowtooth flounder,Atheresthes stomias,10110,129,3.8,9.1,94,201701,153
56.34149,-169.29269,E-20,50,2017,7/17/2017 11:47,31.4844,69.9063,arrowtooth flounder,Atheresthes stomias,10110,137,4,9.3,94,201701,154
56.3443,-170.06214,E-21,50,2017,7/17/2017 15:16,12.0684,20.7903,arrowtooth flounder,Atheresthes stomias,10110,110,3.9,7.9,94,201701,155
56.66562,-171.95337,F-24,61,2017,7/18/2017 7:38,14.3403,20.4349,arrowtooth flounder,Atheresthes stomias,10110,126,4.1,9,94,201701,156
56.98947,-172.64328,G-25,61,2017,7/18/2017 11:39,21.8214,21.6025,arrowtooth flounder,Atheresthes stomias,10110,122,4.4,8.7,94,201701,157
57.3506,-172.82252,H-25,61,2017,7/18/2017 14:44,32.3829,26.8654,arrowtooth flounder,Atheresthes stomias,10110,118,4.4,9,94,201701,158
57.65216,-172.79043,I-25,61,2017,7/18/2017 17:31,12.8306,10.8041,arrowtooth flounder,Atheresthes stomias,10110,119,4.4,9.3,94,201701,159
57.99205,-172.85745,J-25,61,2017,7/19/2017 7:40,5.9569,11.1106,arrowtooth flounder,Atheresthes stomias,10110,109,3.6,9.1,94,201701,160
58.32196,-172.93826,K-25,61,2017,7/19/2017 10:28,9.7496,10.1406,arrowtooth flounder,Atheresthes stomias,10110,109,3.5,9.1,94,201701,161
58.65642,-172.97899,L-25,61,2017,7/19/2017 13:05,24.4894,25.677,arrowtooth flounder,Atheresthes stomias,10110,112,3.3,9.1,94,201701,162
58.99063,-173.07088,M-25,61,2017,7/19/2017 15:44,43.016,40.0313,arrowtooth flounder,Atheresthes stomias,10110,107,3,9.2,94,201701,163
59.00534,-172.45379,M-24,41,2017,7/19/2017 18:23,39.5856,54.5791,arrowtooth flounder,Atheresthes stomias,10110,98,2.7,9.1,94,201701,164
