LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,1.1029,0.3803,whiteblotched skate,Bathyraja maculata,480,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.7797,1.141,arrowtooth flounder,Atheresthes stomias,10110,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,1.9043,0.3803,Pacific halibut,Hippoglossus stenolepis,10120,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,1.0041,4.5639,flathead sole,Hippoglossoides elassodon,10130,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0175,0.3803,rex sole,Glyptocephalus zachirus,10200,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.5895,0.3803,sablefish,Anoplopoma fimbria,20510,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0183,-9999,popeye blacksmelt,Bathylagus ochotensis,20624,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0023,-9999,Pacific viperfish,Chauliodus macouni,21010,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.2799,1.141,darkfin sculpin,Malacocottus zonurus,21341,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.2533,0.7607,yellow Irish lord,Hemilepidotus jordani,21347,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,4.621,1.9016,Pacific cod,Gadus macrocephalus,21720,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,4.0847,8.3672,walleye pollock,Gadus chalcogrammus,21740,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.289,0.3803,Atka mackerel,Pleurogrammus monopterygius,21921,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,6.458,9.5082,rougheye rockfish,Sebastes aleutianus,30051,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,6.2526,10.2688,blackspotted rockfish,Sebastes melanostictus,30052,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,7.6446,13.3114,Pacific ocean perch,Sebastes alutus,30060,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.3301,0.7607,northern rockfish,Sebastes polyspinis,30420,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.019,-9999,hydroid unid.,Hydroidolina,40011,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.4739,-9999,chrysaora jelly,Chrysaora sp.,40501,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0137,-9999,gray mushroom coral,Heteropolypus (=Anthomastus) sp. B,41332,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0091,-9999,Kamchatka coral,Paragorgia arborea,41582,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0274,-9999,undulate hydrocoral,Stylaster repandus,44048,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.016,-9999,bushy coral,Plumarella superba,44075,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0049,-9999,,Fanellia compressa,44090,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0365,-9999,pinnate Plumarella,Plumarella sp. B,44096,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0418,-9999,red trumpet calcareous tubeworm,Serpula columbiana,57411,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0008,-9999,northern longbeak,Pandalopsis longirostris,66061,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.2678,-9999,Tanner crab,Chionoecetes bairdi,68560,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.0053,-9999,,Acantholithodes sp.,69284,182,4.5,5.6,148,202101,1
52.68495,-169.44186,9-Jul,111,2021,5/23/2021 15:52,0.4031,-9999,snail unid.,Gastropoda,71500,182,4.5,5.6,148,202101,1
